date,year,season,location,sampleID,sampleID.prefix,microhabitat,mon.precip,mon.ADD,mon.max.discharge,mon.median.discharge,mon.mean.discharge,mon.max.turb,mon.median.turb,mon.max.wTemp,mon.median.wTemp,depth,per_sediment,per_rock,per_organic,dateTime.UTC,lat,long,alt,pH,wTemp,DO,light,flow,turb,cond,nitrate,alkalinity,phosphate
2018-05-29,2018,Summer,Downstream,01DRSU18.DM,01DRSU18,DM,54.6,480.6,208,74.9,83.03465277777778,3.873,3.3680000000000003,22.07,16.405,17.75,44.5,55,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSP,01DRSU18,DSP,54.6,480.6,208,74.9,83.03465277777778,3.873,3.3680000000000003,22.07,16.405,16.25,10,90,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DFR,01DRSU18,DFR,54.6,480.6,208,74.9,83.03465277777778,3.873,3.3680000000000003,22.07,16.405,15.5,17.5,80,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSR,01DRSU18,DSR,54.6,480.6,208,74.9,83.03465277777778,3.873,3.3680000000000003,22.07,16.405,18.775,44.5,50,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.DSH,01DRSU18,DSH,54.6,480.6,208,74.9,83.03465277777778,3.873,3.3680000000000003,22.07,16.405,16,17.5,82.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.USH,01URSU18,USH,45.9,508.35,154,70.1,73.87215277777779,3.873,3.4155,22.07,16.66,35.25,27.5,72.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.UM,01URSU18,UM,45.9,508.35,154,70.1,73.87215277777779,3.873,3.4155,22.07,16.66,23.75,2.5,97.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.USU,01URSU18,USU,45.9,508.35,154,70.1,73.87215277777779,3.873,3.4155,22.07,16.66,17.75,20,80,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.UFR,01URSU18,UFR,45.9,508.35,154,70.1,73.87215277777779,3.873,3.4155,22.07,16.66,27.75,21.5,70,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.USR,01URSU18,USR,45.9,508.35,154,70.1,73.87215277777779,3.873,3.4155,22.07,16.66,25.5,27,65,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-05,2018,Summer,Downstream,02DRSU18.DM,02DRSU18,DM,76.2,502.7,160,60.5,60.62795138888889,3.873,3.402,23.76,17.17,27.25,16.5,82.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
