date,year,season,location,sampleID,sampleID.prefix,sampling,sky,startTime,dateTime.UTC,microhabitat,quadrat,lat,long,alt,depth,pH,wTemp,DO,light,flow,turb,cond,nitrate,alkalinity,phosphate,notes
2017-06-08,2017,Summer,Downstream,waterQ_SU17DR.NA,waterQ_SU17DR,water,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,14.5,10.12,64.2,0.0957,1.6,93,NA,NA,NA,NA
2017-06-09,2017,Summer,Upstream,waterQ_SU17UR.NA,waterQ_SU17UR,water,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,13.48,10.13,144.7,0.299,1.31,105.1,NA,NA,NA,NA
2018-05-29,2018,Summer,Downstream,01DRSU18.NA,01DRSU18,macros,sunny,09:22:00,2018-05-29T13:22:00Z,NA,NA,NA,NA,NA,NA,7.61,17.4,8.32,NA,NA,NA,NA,NA,NA,NA,NA
2018-05-31,2018,Summer,Upstream,01URSU18.NA,01URSU18,macros,sunny,10:14:00,2018-05-31T14:14:00Z,NA,NA,NA,NA,NA,NA,7.48,17.3,8.55,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-05,2018,Summer,Downstream,02DRSU18.NA,02DRSU18,macros,part clouds,09:24:00,2018-06-05T13:24:00Z,NA,NA,NA,NA,NA,NA,7.51,14.1,8.84,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-06,2018,Summer,Upstream,02URSU18.NA,02URSU18,macros,sunny (few clouds),09:47:00,2018-06-06T13:47:00Z,NA,NA,NA,NA,NA,NA,7.53,14.4,9.06,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-07,2018,Summer,Downstream,03DRSU18.NA,03DRSU18,macros,cloudy,09:28:00,2018-06-07T13:28:00Z,NA,NA,NA,NA,NA,NA,7.4,15.2,8.82,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-08,2018,Summer,Upstream,03URSU18.NA,03URSU18,macros,sunny wispy clouds,09:45:00,2018-06-08T13:45:00Z,NA,NA,NA,NA,NA,NA,7.48,14.9,9.11,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSR,1,NA,NA,NA,NA,7.66,19,8.62,62,0,4.6,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSR,2,NA,NA,NA,NA,7.63,19.1,8.51,33,0,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSR,3,NA,NA,NA,NA,7.68,19.3,8.65,34,0.005,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DFR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DFR,1,NA,NA,NA,NA,7.67,19.6,8.56,43,0.028,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DFR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DFR,2,NA,NA,NA,NA,7.67,19.8,8.49,34,0.064,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DFR,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DFR,3,NA,NA,NA,NA,7.66,19.8,8.48,28,0.019,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DM,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DM,1,NA,NA,NA,NA,7.65,19.9,8.48,43,0.069,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DM,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DM,2,NA,NA,NA,NA,7.69,19.9,8.43,34,0.154,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DM,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DM,3,NA,NA,NA,NA,7.68,20,8.48,28,0.049,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSH,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSH,1,NA,NA,NA,NA,7.66,20.1,8.46,14,0.258,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSH,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSH,2,NA,NA,NA,NA,7.66,20.1,8.46,8,0.367,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSH,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSH,3,NA,NA,NA,NA,7.67,20.1,8.46,12,0.228,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSP,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSP,1,NA,NA,NA,NA,7.7,20.2,8.45,915,0.157,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSP,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSP,2,NA,NA,NA,NA,7.69,20.2,8.46,302,0.564,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Downstream,waterQ_SU18DR.DSP,waterQ_SU18DR,water,partly cloudy,15:00:00,2018-06-11T19:00:00Z,DSP,3,NA,NA,NA,NA,7.73,20.3,8.51,96,0.34,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.USR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,USR,1,NA,NA,NA,NA,7.83,18.3,9.18,106,0.001,5.6,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.USR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,USR,2,NA,NA,NA,NA,7.9,18.4,9.18,108,0,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.USR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,USR,3,NA,NA,NA,NA,7.94,18.5,9.17,101,0,NA,NA,NA,NA,NA,Sun came out
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UFR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UFR,1,NA,NA,NA,NA,7.94,18.6,9.02,31,0.001,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UFR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UFR,2,NA,NA,NA,NA,7.94,18.8,9.05,85,0.002,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UFR,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UFR,3,NA,NA,NA,NA,7.93,18.7,9,199,0.003,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UM,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UM,1,NA,NA,NA,NA,7.98,18.7,9.08,1129,0.006,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UM,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UM,2,NA,NA,NA,NA,7.96,18.8,9.08,1343,0.175,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.UM,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,UM,3,NA,NA,NA,NA,7.97,18.8,9.08,1358,0.62,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.USH,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,USH,1,NA,NA,NA,NA,7.91,18.7,8.83,94,0.003,NA,NA,NA,NA,NA,NA
2018-06-11,2018,Summer,Upstream,waterQ_SU18UR.USH,waterQ_SU18UR,water,partly cloudy,14:08:00,2018-06-11T18:08:00Z,USH,2,NA,NA,NA,NA,7.93,18.8,8.81,60,0.019,NA,NA,NA,NA,NA,NA
